Website,Section,Relevant Sentences,Classification from Model,,,
OneTrust,"We share and disclose information (including Personal Information) about our customers in the following limited circumstances:

Vendors, consultants and other service providers:
We may share your information with third party vendors, consultants and other service providers who we employ to perform tasks on our behalf.  These companies include (for example) our payment processing providers, website analytics companies (e.g., Google Analytics), product feedback or help desk software providers (e.g. Salesforce), CRM service providers (e.g., Salesforce), email service providers (e.g., SendGrid) and others.
If OneTrust receives your Personal Information in the United States and subsequently transfers that information to a third party agent or service provider for processing, OneTrust remains responsible for ensuring that such third party agent or service provider processes your Personal Information to the standard required by the applicable privacy laws, including the GDPR (see the sections below headed “Additional Information for Users in the European Economic Area (“EEA”) or in the United Kingdom (“UK”)” and “International Data Transfers”).
These transfers will be typically based on our legitimate interest or agreed upon in the contract.

Event Sponsors:
When you attend an event or webinar organized by OneTrust (such as PrivacyConnect) we ask your preferences on sharing your contact details with the event sponsor. Based on your choice, we may share your contact details (such as your name, email address, company name and phone number) with the event sponsor. If you’d like to opt-out of sharing of your details with sponsors, you can always do so either at the time of registration, or by submitting a request.

Business Transfers:
We may choose to buy or sell assets, and may share and/or transfer customer information in connection with the evaluation of and entry into such transactions and based on our legitimate interest. Also, if we (or our assets) are acquired, or if we go out of business, enter bankruptcy, or go through some other change of control, Personal Information could be one of the assets transferred to or acquired by a third party.

OneTrust Group Companies:
We may also share your personal data with our parent companies, subsidiaries and/or affiliates for purposes consistent with this Privacy Notice and based on our legitimate interest.
Protection of OneTrust and Others: We reserve the right to access, read, preserve, and disclose any information as necessary to comply with law or court order; enforce or apply our agreements with you and other agreements; or protect the rights, property, or safety of OneTrust, our employees, our users, or others.

Disclosures for National Security or Law Enforcement:
Under certain circumstances, we may be required to disclose your Personal Information in response to valid requests by public authorities, including to meet national security or law enforcement requirements, based on our legitimate interest or legal obligations. ... While OneTrust does not sell personal information in exchange for any monetary consideration, we do share personal information for other benefits that could be deemed a “sale,” as defined by the CCPA (Cal. Civ. Code 1798.140(t)(1)). This includes sharing identifiers, commercial information and internet or other electronic network activity with advertising networks, website analytics companies, and event sponsors.","While OneTrust does not sell personal information in exchange for any monetary consideration, we do share personal information for other benefits that could be deemed a “sale,” as defined by the CCPA (Cal. Civ. Code 1798.140(t)(1)). This includes sharing identifiers, commercial information and internet or other electronic network activity with advertising networks, website analytics companies, and event sponsors.",,,,
The SpringHill Company,"We may disclose the Information as follows:

To service providers or Partners that we have engaged to perform business-related functions on our behalf. This may include service providers that: (a) conduct research and analytics; (b) create content; (c) provide customer, technical or operational support; (d) conduct or support marketing (such as email or advertising platforms); (e) fulfill purchases, orders and user requests; (f) handle payments; (g) host the Site, forums and online communities; (h) administer contests; (i) maintain databases; (j) send or support online or mobile advertising; and (k) otherwise support the Site.
In response to legal process, for example, in response to a court order or a subpoena, a law enforcement or government agency's request or similar request.
With third parties in order to investigate, prevent, or take action (in our sole discretion) regarding potentially illegal activities, suspected fraud, situations involving potential threats to any person, us, or the Site, or violations of our policies, the law or our Terms of Use, to verify or enforce compliance with the policies governing the Site.
We may transfer some or all of your Personal Information if we, or one of our business units, undergoes a business transition, like a merger, consolidation, restructuring, acquisition by another company, or sale of all or part of our assets, or if a substantial portion of our or of a business unit’s assets is sold, consolidated, restructured, acquired, or merged in this way, including during any applicable due diligence process.
We may share your Personal Information with our parent, subsidiaries, and affiliates. As part of this sharing of information with our parent, subsidiaries, and affiliates, this means that once you provide us with information, these entities may use your information, including for marketing purposes, pursuant to the terms of this Policy.
We may share the Information with unaffiliated Partners and third parties (e.g., our third party service providers, advertisers, advertising networks and platforms, agencies, other marketers, magazine publishers, retailers, participatory databases, and non-profit organizations) that wish to market products or services to you.
Please note that the Site covered by this Privacy Policy may offer content (e.g., contests, sweepstakes, promotions, games, applications, or social network integrations) that is sponsored by or co-branded with identified third parties. By virtue of these relationships, the third parties may obtain information from their visitors. We have no control over these third parties' use of this information, which is subject to their own privacy policies. ... In addition, if we sold or disclosed your personal information for a business purpose, you may request that we provide you with:

(1) The categories of Personal Information that we sold about you, and the categories of third parties to whom the personal information was sold, by category or categories of Personal Information for each category of third parties to whom the information was sold; or if we have not sold consumers’ Personal Information; and
(2) The categories of Personal Information that we have disclosed about you for a business purpose, and the categories of third parties to whom the personal information was disclosed, by category or categories of Personal Information for each category of third parties to whom the information was disclosed; or if we have not disclosed consumers’ Personal Information for a business purpose.","In addition, if we sold or disclosed your personal information for a business purpose, you may request that we provide you with:

(1) The categories of Personal Information that we sold about you, and the categories of third parties to whom the personal information was sold, by category or categories of Personal Information for each category of third parties to whom the information was sold; or if we have not sold consumers’ Personal Information; and
(2) The categories of Personal Information that we have disclosed about you for a business purpose, and the categories of third parties to whom the personal information was disclosed, by category or categories of Personal Information for each category of third parties to whom the information was disclosed; or if we have not disclosed consumers’ Personal Information for a business purpose.",,,,
Netflix,"You have the right to request that we disclose: what categories and specific pieces of CCPA personal information have been collected about you; the categories of sources from which CCPA personal information are collected; our business or commercial purpose for collecting, using, or disclosing CCPA personal information; the categories of third parties with whom we share CCPA personal information; the categories of CCPA personal information we have disclosed about you for a business purpose. We do not sell personal information.",We do not sell personal information,,,,
Disney,"We collect this information so that we can best serve you, including to fulfill your requests and to share offers that we think you may be interested in. A more detailed description of these purposes is in our Privacy Policy under “Use of Your Information by The Walt Disney Family of Companies.” California residents also have the right to “opt out” of the “sale” of their “personal information” to “third parties” (as those terms are defined in the CCPA and described below).",California residents also have the right to “opt out” of the “sale” of their “personal information” to “third parties” (as those terms are defined in the CCPA and described below).,,,,
Tik Tok,"We are committed to maintaining your trust, and while TikTok does not sell personal information to third parties, we want you to understand when and with whom we may share the information we collect for business purposes.","We are committed to maintaining your trust, and while TikTok does not sell personal information to third parties, we want you to understand when and with whom we may share the information we collect for business purposes.",,,,
Facebook,"We work with third-party partners who help us and improve our Products or who use Facebook Business Tools to grow their businesses, which makes it possible to operate our companies and provide free services to people around the world. We don't sell any of your information to anyone, and we never will. We also impose strict restrictions on how our partners can use and disclose the data we provide. Here are the types of third parties we share information with:","We don't sell any of your information to anyone, and we never will.",,,,
Instagram,"We work with third-party partners who help us provide and improve our Products or who use Facebook Business Tools to grow their businesses, which makes it possible to operate our companies and provide free services to people around the world. We don't sell any of your information to anyone, and we never will. We also impose strict restrictions on how our partners can use and disclose the data we provide. Here are the types of third parties we share information with:","We don't sell any of your information to anyone, and we never will.",,,,
WhatsApp,"For this Notice, ""Personal Information"" means information that identifies, relates to, describes, is reasonably capable of being associated with, or could reasonably be linked, directly or indirectly, with you. Personal Information does not include information that is aggregated, de-identified or information that cannot be reasonably linked to you. We don’t sell any of your Personal Information, and we never will.","We don’t sell any of your Personal Information, and we never will.",,,,
Amazon Prime,"Information about our customers is an important part of our business, and we are not in the business of selling our customers' personal information to others. We share customers' personal information only as described below and with subsidiaries Amazon.com, Inc. controls that either are subject to this Privacy Notice or follow practices at least as protective as those described in this Privacy Notice.","Information about our customers is an important part of our business, and we are not in the business of selling our customers' personal information to others.",,,,
Snapchat,"We may share information about you in the following ways: With other Snapchatters. We may share the following information with other Snapchatters: information about you, such as your username, name, and Bitmoji.",We may share information about you in the following ways:,,,,
Spotify,"We will only share the following personal data with those outlined in the table below: Third party applications, services and devices you connect to your Spotify Account Other Spotify users Support community  Artists and record labels",We will only share the following personal data with those outlined in the table below:,,,,
Wordscapes,CCPA gives you a right to direct a business that sells your personal information to stop selling  your personal information and to refrain from doing so in the future. We do not sell any of your personal information and will require our service providers not to sell your personal information.,We do not sell any of your personal information and will require our service providers not to sell your personal information.,,,,
Subway Surfers,"We may share information about you as follows or as otherwise described in this Privacy Policy: With other users of our Services; In response to a request for information if we believe disclosure is in accordance with any applicable legal requirement; If we believe your actions are inconsistent with the spirit or language of our user agreements or policies, or to protect the rights, property and safety of SYBO or others; In connection with, or during negotiations of, any merger, sale of company assets, financing or acquisition of all or a portion of our business to another company; and With your consent or at your direction.",We may share information about you as follows or as otherwise described in this Privacy Policy:,,,,
Amazon Shopping,"Information about our customers is an important part of our business, 
and we are not in the business of selling our customers' personal 
information to others. We share customers' personal information only as 
described below and with subsidiaries Amazon.com, Inc. controls that 
either are subject to this Privacy Notice or follow practices at least 
as protective as those described in this Privacy Notice.","Information about our customers is an important part of our business, and we are not in the business of selling our customers' personal information to others",,,,
Tiles Hop: EDM Rush,"We may use third-party Service Providers to show advertisements to you to help support and maintain our Service.  

        AdColony. AdColony is provided by Jirbo Inc.You can opt-out from the AdColony service by visiting the AdColony Opt-out page: LINK. You can also opt-out from AdColony through the Digital Advertising Alliance in the USA: LINK or opt-out using your mobile device settings. For more information AdColony, please visit the Privacy Policy of AdColony: LINK.
                AdMob by Google. AdMob
 by Google is provided by Google Inc.You can opt-out from the AdMob by 
Google service by following the instructions described by Google: LINK.
 For more information on how Google uses the collected information, 
please visit the “How Google uses data when you use our partners’ sites 
or app” page: LINK or visit the Privacy Policy of Google: LINK.
        ",We may use third-party Service Providers to show advertisements to you to help support and maintain our Service.,,,,
Dancing Road: Color Ball Run,"We may use third-party Service Providers to show advertisements to you to help support and maintain our Service. 
        AdMob by Google. AdMob
 by Google is provided by Google Inc.You can opt-out from the AdMob by 
Google service by following the instructions described by Google: LINK.
 For more information on how Google uses the collected information, 
please visit the “How Google uses data when you use our partners’ sites 
or app” page: LINK or visit the Privacy Policy of Google: LINK.
        
AdColony. AdColony is provided by Jirbo Inc.You can opt-out from the AdColony service by visiting the AdColony Opt-out page: LINK. You can also opt-out from AdColony through the Digital Advertising Alliance in the USA: LINK or opt-out using your mobile device settings. For more information AdColony, please visit the Privacy Policy of AdColony: LINK.","We may use third-party Service Providers to show advertisements to you to help support and maintain our Service. 
",,,,
Roblox,"Roblox doesn’t sell your information to other companies for them to use as they want.
Roblox does have relationships with some companies that help us 
provide our services (for example, when you or your parent purchase 
Robux), so we may provide some of your information to them, but only 
because we need to in order to complete your transaction.",Roblox doesn’t sell your information to other companies for them to use as they want.,,,,
Magic Tiles 3,"We may use third-party Service Providers to show advertisements to you to help support and maintain our Service.  
        AdMob by Google. AdMob
 by Google is provided by Google Inc.You can opt-out from the AdMob by 
Google service by following the instructions described by Google: LINK.
 For more information on how Google uses the collected information, 
please visit the “How Google uses data when you use our partners’ sites 
or app” page: LINK or visit the Privacy Policy of Google: LINK.
        

AdColony. AdColony is provided by Jirbo Inc.You can opt-out from the AdColony service by visiting the AdColony Opt-out page: LINK. You can also opt-out from AdColony through the Digital Advertising Alliance in the USA: LINK or opt-out using your mobile device settings. For more information AdColony, please visit the Privacy Policy of AdColony: LINK.
",We may use third-party Service Providers to show advertisements to you to help support and maintain our Service. ,,,,
Messenger,"We work with third-party partners who help us and improve our Products or who use Facebook Business Tools to grow their businesses, which makes it possible to operate our companies and provide free services to people around the world. We don't sell any of your information to anyone, and we never will. We also impose strict restrictions on how our partners can use and disclose the data we provide. Here are the types of third parties we share information with:","We don't sell any of your information to anyone, and we never will",,,,
Tubi- Free Movies & TV Shows,,"The following table describes the categories of personal information we have collected for all users over the past 12 months, the source of collection, our purpose for using it, and the categories of third parties with whom we disclose for a business purpose or sell. Depending on the California resident’s interactions with us, we may not have disclosed PI collected about that resident for each of these purposes.:",,,,
HBO Max: Stream TV & Movies,,"We share Information with and disclose it to the following parties in 
the following ways, for the purposes set out below or for any other 
purpose disclosed at the time of collection:",,,,
Antistress- relaxation toys,Personal Data is collected for the following purposes and using the following services: Advertising Analytics Platform Services and Hosting,Personal Data is collected for the following purposes and using the following services: Advertising Analytics Platform Services and Hosting,,,,
Twitter,"To bring you our services, we operate globally. Where the laws of your country allow you to do so, you authorize us to transfer, store, and use your data in the United States, Ireland, and any other country where we operate. In some of the countries to which we transfer personal data, the privacy and data protection laws and rules regarding when government authorities may access data may vary from those of your country. Twitter does not sell your personal data as defined under the California Consumer Privacy Act. Learn more about our global operations and data transfer here.",Twitter does not sell your personal data as defined under the California Consumer Privacy Act,,,,
Telegram,8. Who Your Personal Data May Be Shared With 8.1. Other Telegram Users 8.2. Telegram’s Group Companies 8.3. Law Enforcement Authorities,8. Who Your Personal Data May Be Shared With 8.1. Other Telegram Users 8.2. Telegram’s Group Companies 8.3. Law Enforcement Authorities,,,,
Peacock TV: Stream TV and Movies,"Depending on what Services you use, we may share the following categories of information for such purposes which may be considered a sale (as defined by California law): identification and demographics; device information and identifiers, such as IP address, and unique advertising identifiers and cookies; connection and usage information, such as browsing history or app usage; hashed identifiers (contact information), geolocation information, such as city; and inference data.","Depending on what Services you use, we may share the following categories of information for such purposes which may be considered a sale (as defined by California law): identification and demographics; device information and identifiers, such as IP address, and unique advertising identifiers and cookies; connection and usage information, such as browsing history or app usage; hashed identifiers (contact information), geolocation information, such as city; and inference data.",,,,
Among Us,"In the preceding 12 months, we may have sold the following categories of Personal Information to our advertising partners, Google AdMob and Unity Ads: country, device information, Internet Protocol address, device and online identifiers, and information regarding gameplay and purchases made in the Game. Currently, we do not sell your Personal Information and do not partner with Google AdMob and Unity Ads. We only disclose Personal Information to our service providers identified in Section 7 above.","Currently, we do not sell your Personal Information and do not partner with Google AdMob and Unity Ads.",,,,
Hulu,"We may share information collected from or about you with others, including business partners, social networking services, service providers, advertisers, and other companies that are not affiliated with Hulu, for the purposes described below. Advertisers. Service Providers Audience Measurement Providers","We may share information collected from or about you with others, including business partners, social networking services, service providers, advertisers, and other companies that are not affiliated with Hulu, for the purposes described below. Advertisers. Service Providers Audience Measurement Providers",,,,
Discord,"The Company is not in the business of selling your information. We 
consider this information to be a vital part of our relationship with 
you. There are, however, certain circumstances in which we may share 
your information with certain third parties, as set forth below: Business Transfers Developers Legal Requirements Aggregated or Non-identifiable Data",The Company is not in the business of selling your information,,,,
SHEIN,"Right to Opt-Out of Selling You have the right to opt-out of having your personal information sold. We do not sell your personal information as that term is generally understood but we recognize that the CCPA defines ""personal information"" in such a way that making available identifiers linked to you for a benefit may be considered a ""sale."" The CCPA broadly defines “personal information” and ""selling"" such that making available or sharing identifiers linked to you for a benefit may be considered a sale. In the previous 12 months, we were sharing identifiers and inferences about you with our partners, third parties and affiliates in such a way that, under the CCPA, may be defined as selling. Please see the ""Cookies and Other Tracking Technologies"" section above for a description of opting out of cookies and controlling browser settings, in addition to clicking the ""Manage Cookies"" link in our website footer to load a consent tool that will allow you to opt-out of the cookies on our Site. identifiers such as a name, address, unique personal identifier, email, phone number, your device’s IP address, and non-directly identifiable alphanumerical numbers associated with your devices; commercial information such as records of products or services purchased, obtained, or considered by you; Internet or other electronic information regarding your browsing activity, length of visit and number of page views, click-stream data, locale preferences, your mobile carrier, date and time stamps associated with transactions, and system configuration information; audio recordings of your voice to the extent you call us, as permitted under applicable law; employment-related information; and inferences about your preferences, characteristics, behavior and attitudes.","We do not sell your personal information as that term is generally understood but we recognize that the CCPA defines ""personal information"" in such a way that making available identifiers linked to you for a benefit may be considered a ""sale.""",,,,
Pluto TV,"Because of the broad definition of “sale” under CCPA, some information that we share with third parties may constitute the “sale” of your information. For instance, some of our brands share identifiers, such as cookies and the advertising identifier associated with your mobile or internet-connected device with our advertising partners, and those partners use and share those identifiers to show advertisements that are targeted to your interests.","Because of the broad definition of “sale” under CCPA, some information that we share with third parties may constitute the “sale” of your information.",,,,
Cash App,"Even though you use our services while acting as an employee, owner, director, officer, or contractor of a company, partnership, sole proprietor of a business, nonprofit, or government agency, if you live in California, California law gives you the right to ask if we disclose your personal information to third parties for their direct marketing purposes (we do not disclose your personal information for others’ direct marketing purposes). It also gives you the right to ask if we sell your personal information to third parties (we do not sell your personal information and have not done so in the past), and if we did (which we don’t), you’d have the right to opt out of such sales.","It also gives you the right to ask if we sell your personal information to third parties (we do not sell your personal information and have not done so in the past), and if we did (which we don’t), you’d have the right to opt out of such sales.",,,,
Pull the Pin,"Personal data will only be disclosed to third parties without the express consent of the user where this is necessary to provide the services of Popcore or to implement the contract with the user (e.g. to process payments, including for in app purchases, for the technical provision of the Service), unless otherwise regulated elsewhere in this privacy policy. Accordingly, the data is transmitted to such service providers (such as payment service providers, advertising providers, technical service providers) for the purpose of fulfilling the contract pursuant to Art. 6 para. 1 d. 1 lit. b) GDPR. Popcore will of course ensure that the respective service provider has taken appropriate technical and organisational measures to ensure the security of the data before passing on the user's personal data. Furthermore, Popcore will not disclose the user's personal data to third parties unless the user has expressly consented to such disclosure (Art. 6 para. 1 s. 1 lit. a) GDPR) and POPCORE is not entitled or obliged to disclose such data on the basis of statutory provisions or court orders. In the latter case, Popcore shall transfer the data in order to fulfil a legal obligation pursuant to Art. 6 para. 1 s. 1 lit. c) GDPR.","Accordingly, the data is transmitted to such service providers (such as payment service providers, advertising providers, technical service providers) for the purpose of fulfilling the contract pursuant to Art.",,,,
Walmart Shopping,"We are careful to share your personal information in ways that respect 
your privacy and only as described in this Policy. We view you as a 
valued customer, not a product, and we do not sell or rent your personal
 information to others for money. All of the categories of personal 
information that we collect have been shared with other companies, 
including those within our corporate family, for a business purpose. We 
may share your personal information in the following circumstances: Other Businesses in our Corporate Family Service Providers Products and Services Offered by Other Businesses Deidentified & Aggregated Personal Information","We view you as a valued customer, not a product, and we do not sell or rent your personal information to others for money.",,,,
TextNow: Call + Text,"The table below sets forth the types of data we collect. We use this data for one or more of the following purposes as indicated in such table:  To provide you with relevant commercial advertisements. In connection 
this Purpose #5, we share certain information as indicated in the table 
below with third party advertisers in order to provide you with relevant
 commercial advertisements. The provision of such information generates 
revenue to pay in part or in whole for the Services. If you would like 
more information about this practice and to know your choices about not 
having this information used by these companies, click here.","The table below sets forth the types of data we collect. We use this data for one or more of the following purposes as indicated in such table:  To provide you with relevant commercial advertisements. In connection 
this Purpose #5, we share certain information as indicated in the table 
below with third party advertisers in order to provide you with relevant
 commercial advertisements. The provision of such information generates 
revenue to pay in part or in whole for the Services. If you would like 
more information about this practice and to know your choices about not 
having this information used by these companies, click here.",,,,
Paramount+,"We may share information to provide advertising based on your interests. For more information, please see “Your Choices, Rights, and Controls” section of this Policy.",We may share information to provide advertising based on your interests,,,,
Amazon Alexa,"Third-Party Advertisers and Links to Other Websites: Amazon Services may include third-party advertising and links to other websites and apps. Third-party advertising partners may collect information about you when you interact with their content, advertising, and services. For more information about third-party advertising at Amazon, including interest-based ads, please read our Interest-Based Ads notice. To adjust your advertising preferences, please go to the Advertising Preferences page.","Third-party advertising partners may collect information about you when you interact with their content, advertising, and services. For more information about third-party advertising at Amazon, including interest-based ads",,,,
Etsy,"Etsy may also use first party data (e.g. your prior shopping and browsing patterns on our Site), and may combine it with other data collected from you, such as your location, or publicly available information, to permit us to create targeted audiences based on your known or inferred demographic and/or interests to provide you with more relevant and useful advertising on our site, in our direct marketing channels (like email), or with our off site marketing partners, like Google and Facebook, subject to their terms and privacy notice you agreed to with such partners .","Etsy may also use first party data (e.g. your prior shopping and browsing patterns on our Site), and may combine it with other data collected from you, such as your location, or publicly available information, to permit us to create targeted audiences based on your known or inferred demographic and/or interests to provide you with more relevant and useful advertising on our site, in our direct marketing channels (like email), or with our off site marketing partners, like Google and Facebook, subject to their terms and privacy notice you agreed to with such partners .",,,,
CapCut,"We don’t sell any of your information and we impose restrictions on how partners can use the data we provide. We may disclose the categories of personal information discussed above for a business purpose to selected third parties in or outside your country, including with:",We don’t sell any of your information and we impose restrictions on how partners can use the data we provide,,,,
Woodoku,"We may disclose or publish aggregated information (information about you and other players collectively that is not intended to specifically identify you, for example, players between the ages of 21 and 25 who live San Francisco) and other non-personal information about our players for industry analysis, demographic profiling, marketing, analytics, advertising, and other business purposes. In addition, we may share your information (which may include personal information) with third parties (in other words, parties other than TDS) or allow third parties to collect this information from our Services in the following circumstances: Your Consent Third-Party Advertising Including Tailored Advertising and Analytics Friends and Other TDS Players","Third-Party Advertising Including Tailored Advertising and Analytics We have advertising on our Services so we can continue to offer many of our Services for free. We do not actively share personal information with third-party advertisers for their direct marketing purposes unless you give us your consent. When advertisers or ad networks place ads in our Services, they may collect or we may share the following types of information from within our",,,,
McDonald's,We do not sell your personal information and only share your information as described in this Privacy Statement or as otherwise communicated to you at the time we collect your information. Please note that some US state statutes may define a “sale” to include sharing of personal information with third parties for valuable consideration. Many companies have common arrangements with online advertising networks and analytics companies that may potentially be considered sales under these definitions. Please reference our Additional Notice for California Consumers in the US Country Specific Addendum (below) for more information.,We do not sell your personal information and only share your information as described in this Privacy Statement or as otherwise communicated to you at the time we collect your information.,,,,
QR & Barcode Scan,"We want to make sure that our advertising and marketing is relevant and 
interesting to you and our other customers. To achieve this, we use 
third-party advertising and technology companies to serve advertising 
and/or provide aggregated data to assist in serving advertising when you
 visit or use our apps. This includes third party technology companies 
which collect data about you in order to build a profile of your 
preferences based on your activities when you visit or use our apps. We 
also use these companies to automatically collect data from you when you
 use our apps in order to help us identify the advertising that are 
served to you and what you do after seeing those advertising. In 
addition, we share data with providers of analytics tools, such as 
Firebase, Google Analytics, Tenjin which we use to analyse your use of 
the apps. A list of the third party advertising and technology companies
 that we use is set out below.

(a) Admob (Google, Inc.)

(b) AppLovin Limited

(c) Facebook, Inc.

(d) Firebase (Google, Inc.)

(e) Google Analytics (Google, Inc.)

        (f) Tenjin, Inc.

        (g) Unity Ads (Unity Technologies Finland Oy)",This includes third party technology companies which collect data about you in order to build a profile of your preferences based on your activities when you visit or use our apps.,,,,
DoorDash,"Right to Opt-Out of the Sale of Your Personal Information – You have the right to opt-out of having your Personal Information sold. The California Privacy Rights Act (“CPRA”) amends the California Consumer Privacy Act to broadly define “sale” in a way that may include allowing third parties to receive certain information such as cookie identifiers, IP addresses and/or browsing behavior to add to a profile about your device, browser or you. Such profiles may enable delivery of interest-based advertising by such third parties within their platform or on other sites. Depending on how you use the Services, we may share the following categories of information for such interest-based advertising which may be considered a sale (as defined by the CPRA): (1) device information and identifiers, such as IP address and unique advertising identifiers and cookies; and (2) connection and usage information, such as browsing history or app usage. Although this obligation of the CPRA does not become effective until January 1, 2023, you may opt out of such tracking technologies by following the instructions in Section 2 above.",Such profiles may enable delivery of interest-based advertising by such third parties within their platform or on other sites.,,,,
PayPal,"We do not sell your personal data. However, we may share personal data across our services and with other members of the PayPal corporate family. Sometimes we share the personal data we collect with third parties to help us provide services, protect our customers from risk and fraud, market our products, and comply with legal obligations.",We do not sell your personal data,,,,
Shop,"Finally, we do not and will not “sell” your personal information, as that term is used in California law.","Finally, we do not and will not “sell” your personal information, as that term is used in California law.",,,,
Roku,"We work with advertising partners to show you ads that we think may interest you for Roku’s products and services on Roku Services and on other companies’ websites, apps, and devices. We also work with advertising partners in order to show you ads from advertisers on Roku Services and on other companies’ websites, apps, and devices. We share information with these advertising partners and our advertisers, and they may set and access their own cookies, pixel tags and similar technologies on the Roku Services and they may otherwise collect or have access to information about you which they collect over time and across different online services and devices.","We share information with these advertising partners and our advertisers, and they may set and access their own cookies, pixel tags and similar technologies on the Roku Services and they may otherwise collect or have access to information about you which they collect over time and across different online services and devices.",,,,
ESPN,"We collect this information so that we can best serve you, including to fulfill your requests and to share offers that we think you may be interested in. A more detailed description of these purposes is in our Privacy Policy under “Use of Your Information by The Walt Disney Family of Companies.” California residents also have the right to “opt out” of the “sale” of their “personal information” to “third parties” (as those terms are defined in the CCPA and described below).",California residents also have the right to “opt out” of the “sale” of their “personal information” to “third parties” (as those terms are defined in the CCPA and described below).,,,,
Coinbase,"We take care to allow your personal information to be accessed only by those who require access to perform their tasks and duties, and to share only with third parties who have a legitimate purpose for accessing it. CB will never sell or rent your personal information to third parties without your explicit consent.",CB will never sell or rent your personal information to third parties without your explicit consent.,,,,
Fetch Rewards,"In operating our business and working to provide you the best products and services, unless specified otherwise elsewhere, we may share your information in the following ways: With our participating brands With our service providers With third parties to facilitate their provision of services to you With other users as part of the referral program",,,,,
Klarna,"Klarna does not sell personal information and will not sell personal information, except as described in this Privacy Policy.","Klarna does not sell personal information and will not sell personal information, except as described in this Privacy Policy. If we ever decide to sell personal information, we will provide you with notice and a right to opt-out of such sale.",,,,
Crypto,We will get your opt-in consent before we share your personal data with any third party for marketing purposes.,We will get your opt-in consent before we share your personal data with any third party for marketing purposes.,,,,
Cube Crack,Please refer to the privacy policies of our advertising partners for more information on how to exercise your rights and control your advertising choices. Our advertisers include the following: MoPub: https://www.mopub.com/legal/privacy/ AppLovin: https://www.applovin.com/privacy/ Facebook: https://www.facebook.com/about/basics/advertising Unity: https://unity3d.com/legal/cookie-policy#cookies Vungle: http://vungle.com/privacy,Please refer to the privacy policies of our advertising partners for more information on how to exercise your rights and control your advertising choices. Our advertisers include the following: MoPub: https://www.mopub.com/legal/privacy/ AppLovin: https://www.applovin.com/privacy/ Facebook: https://www.facebook.com/about/basics/advertising Unity: https://unity3d.com/legal/cookie-policy#cookies Vungle: http://vungle.com/privacy,,,,
